Date,Open Price,High Price,Low Price,Close Price,Deliverable Qty
01-Jan-21,1988,1997,1982,1987.5,1013314
04-Jan-21,1995.1,1998.9,1968,1990.85,3869604
05-Jan-21,1969,1983.6,1956,1966.1,5208047
06-Jan-21,1965.9,1966,1905.15,1914.25,9038101
07-Jan-21,1920.5,1945,1905.15,1911.15,6452659
08-Jan-21,1918,1938.4,1912.1,1933.7,5303550
11-Jan-21,1938.8,1938.8,1892.5,1897.25,7697815
12-Jan-21,1903,1960,1899.9,1957.05,8987850
13-Jan-21,1963.55,1974.95,1918.45,1938.8,4368602
14-Jan-21,1945,1966.9,1939.05,1960.6,5225648
15-Jan-21,1960.6,1973.8,1920.05,1937.45,3947767
18-Jan-21,1949.1,1997,1923.35,1983.95,6014603
19-Jan-21,1994.65,2031,1994.65,2016.4,6055057
20-Jan-21,2021.4,2058,2001.4,2054.7,6676332
21-Jan-21,2082,2120,2075,2099.4,6386636
22-Jan-21,2111,2115.35,2035.15,2049.6,3512524
25-Jan-21,2034.95,2034.95,1932,1941,9041658
27-Jan-21,1925,1925,1888,1895,9587173
28-Jan-21,1880.15,1923.3,1870,1876.55,4697008
29-Jan-21,1894.3,1913.1,1830,1841.95,9106845
